h/l,M_infty,F_axial_RANS [N/m],F_axial_SmallPert [N/m],F_axial_ShockExp [N/m],F_axial_Combined [N/m],Diff_SmallPert [%],Diff_ShockExp [%],Diff_Combined [%],Avg_P_Error_SP [%],Avg_P_Error_SE [%],Avg_P_Error_Combined [%],Case_Key
0.02,1.5,1451.1218,1363.3630884348627,1270.4925140166893,1271.0684121965637,-6.436930739980573,-14.217266938797014,-14.165517154513863,8.686257277400514,12.656659799540908,11.767401180527228,h_l_0.02_Mach_1.5
0.02,2.0,727.94836,734.0364464687186,671.7450985215897,671.9313687623259,0.8293978099036536,-8.366754868761639,-8.33671385199175,9.873188933783164,10.602726500092636,9.979135150027329,h_l_0.02_Mach_2.0
0.02,2.5,395.5329,397.0393765496565,354.116000870164,354.1937213988441,0.3794280087605628,-11.695855871319472,-11.67134651261199,13.737079817987068,12.773963629051018,12.120493827020882,h_l_0.02_Mach_2.5
0.02,3.0,214.47084,215.43508591311783,186.83238603596337,186.86586196945683,0.4475805112845621,-14.793181741423611,-14.772617209855454,19.80395011753078,16.232665176197496,15.554369981125308,h_l_0.02_Mach_3.0
0.02,3.5,117.74947,119.08718314717633,100.2943258895412,100.30925412959769,1.1233027266634998,-17.40392342978636,-17.38645112408792,27.680158231627498,20.140838398171972,19.49387483121988,h_l_0.02_Mach_3.5
0.02,4.0,65.96175,67.66652356164671,55.31374788375648,55.32068183808532,2.519380716039421,-19.250184157546023,-19.235237209981726,37.29638072356573,24.284921333104982,23.78466599560663,h_l_0.02_Mach_4.0
0.03,1.5,1752.2382,3067.568612301205,2608.266422685392,2609.0488692869467,42.87859928697058,32.81981687378255,32.83996402648547,25.857745236465917,27.997669565974327,26.722830240643557,h_l_0.03_Mach_1.5
0.03,2.0,1644.8608,1651.58290008974,1403.7075869195264,1403.927206113705,0.4070071351322868,-17.17973566371047,-17.16140499883807,23.16133099559357,18.659798042790484,17.89837624799687,h_l_0.03_Mach_2.0
0.03,2.5,865.69385,893.3390816305314,730.3112049027857,730.3985292175523,3.094595830714475,-18.537664744098457,-18.52349272713272,33.073359532440115,20.802673345288515,20.055948127829364,h_l_0.03_Mach_2.5
0.03,3.0,463.62692,484.729206138448,380.1847930656667,380.2212058541801,4.353416972568159,-21.947781990149927,-21.936103370633408,48.02092373734912,24.894208408305975,24.153191478151754,h_l_0.03_Mach_3.0
0.03,3.5,252.78319,267.94630736923943,201.64343176866532,201.65917045157994,5.659014170377496,-25.361478749387434,-25.35169479282684,66.9924768686,29.567059065831234,28.891390294856283,h_l_0.03_Mach_3.5
0.03,4.0,141.53699,152.24976056784635,110.07766462402519,110.08475161716078,7.03631534342215,-28.579206134244338,-28.5709285123406,88.66402396908292,34.26965221815087,33.757085794190985,h_l_0.03_Mach_4.0
0.039999999999999994,1.5,2103.6177,5453.462543594839,4319.353475282745,4320.095022995523,61.42601770957471,51.29785770442075,51.30621746549879,43.785317345279566,41.20259459345683,39.85277594784054,h_l_0.04_Mach_1.5
0.039999999999999994,2.0,1467.161,2936.151272106167,2301.3287109328903,2301.5710844189402,50.031150483273294,36.24722084367322,36.25393451132142,49.74029446677803,38.01325639606529,37.14262672915181,h_l_0.04_Mach_2.0
0.039999999999999994,2.5,1527.5746,1588.1604736941263,1191.2705601877146,1191.3605646609142,3.814846782596437,-28.23070056564059,-28.221013039466914,66.94846777132231,29.367511261726783,28.614629663678553,h_l_0.04_Mach_2.5
