h/l,M_infty,F_axial_RANS [N/m],F_axial_SmallPert [N/m],F_axial_ShockExp [N/m],Diff_SmallPert [%],Diff_ShockExp [%],Case_Key
0.02,1.5,1451.1218,1363.3630884348627,19151.24687948343,-6.436930739980573,92.42283369169843,h_l_0.02_Mach_1.5
0.02,2.0,727.94836,734.0364464687186,1562.1932264255788,0.8293978099036536,53.402155895694435,h_l_0.02_Mach_2.0
